iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
11,2025-09-05T14:47:10,8.315,/tmp/vlm_frame_1757051224018.png,/tmp/vlm_frame_1757051224018_det.png,open,0.9,True,uncertain,,,,,satisfied,ALREADY_OPEN,door already open,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,270,474]],""material"":[[318,338,330,351]]}",619
12,2025-09-05T14:47:17,6.090,/tmp/vlm_frame_1757051231541.png,/tmp/vlm_frame_1757051231541_det.png,open,0.9,True,uncertain,,,,,satisfied,ALREADY_OPEN,door already open,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,202,269,474]],""material"":[[318,338,330,351]]}",618
13,2025-09-05T14:47:26,9.132,/tmp/vlm_frame_1757051237959.png,/tmp/vlm_frame_1757051237959_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[109,201,269,474]],""material"":[[318,338,330,351]]}",1114
14,2025-09-05T14:47:35,9.028,/tmp/vlm_frame_1757051247444.png,/tmp/vlm_frame_1757051247444_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[109,200,269,473]],""material"":[[318,338,330,351]]}",722
15,2025-09-05T14:47:48,12.778,/tmp/vlm_frame_1757051256941.png,/tmp/vlm_frame_1757051256941_det.png,closed,0.9,,,,,,,in progress,OK,"open door first, then get material",open_door,"{""arm"":""right""}","[{""name"":""open_door"",""args"":{""arm"":""right""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[108,200,270,474]],""material"":[[318,338,330,351]]}",1725
16,2025-09-05T14:47:59,10.677,/tmp/vlm_frame_1757051269459.png,/tmp/vlm_frame_1757051269459_det.png,closed,0.9,True,uncertain,False,already closed,,,blocked,ALREADY_CLOSED,door already closed,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already closed""}},{""skipped"":{""name"":""get_material"",""reason"":""unable to reach material""}}]","{""door"":[[109,199,269,473]],""material"":[[318,338,330,351]]}",1114
17,2025-09-05T14:48:06,7.726,/tmp/vlm_frame_1757051279954.png,/tmp/vlm_frame_1757051279954_det.png,open,0.9,True,uncertain,,,,,satisfied,ALREADY_OPEN,door already open,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,269,474]],""material"":[[318,338,330,351]]}",618
18,2025-09-05T14:48:15,8.112,/tmp/vlm_frame_1757051288447.png,/tmp/vlm_frame_1757051288447_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute open_door,open_door,"{""arm"":""left"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""left"",""object_label"":""door""}}]",[],"{""door"":[[109,200,269,474]],""material"":[[318,338,330,351]]}",843
19,2025-09-05T14:48:26,11.480,/tmp/vlm_frame_1757051295923.png,/tmp/vlm_frame_1757051295923_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,200,269,473]],""material"":[[318,338,330,351]]}",1364
20,2025-09-05T14:48:31,4.468,/tmp/vlm_frame_1757051307456.png,/tmp/vlm_frame_1757051307456_det.png,,,,,,,,,,,,,,[],[],"{""door"":[[109,199,269,474]],""material"":[[318,338,330,351]]}",416
21,2025-09-05T14:48:34,2.835,/tmp/vlm_frame_1757051311961.png,/tmp/vlm_frame_1757051311961_det.png,,,,,,,,,,,,,,[],[],"{""door"":[[108,200,269,474]],""material"":[[318,338,330,351]]}",455
22,2025-09-05T14:48:44,10.098,/tmp/vlm_frame_1757051315435.png,/tmp/vlm_frame_1757051315435_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]",[],"{""door"":[[109,199,269,474]],""material"":[[318,338,330,351]]}",1264
23,2025-09-05T14:48:57,13.200,/tmp/vlm_frame_1757051325946.png,/tmp/vlm_frame_1757051325946_det.png,closed,0.9,True,uncertain,true,door_state=closed,,,in_progress,OK,execute open_door,,,"[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,199,269,474]],""material"":[[318,338,330,351]]}",1373
24,2025-09-05T14:49:08,10.236,/tmp/vlm_frame_1757051338445.png,/tmp/vlm_frame_1757051338445_det.png,closed,0.9,True,uncertain,True,,,,in_progress,OK,Open the door to get the material inside.,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]",[],"{""door"":[[108,201,269,474]],""material"":[[318,338,330,351]]}",1022
25,2025-09-05T14:49:20,12.674,/tmp/vlm_frame_1757051348952.png,/tmp/vlm_frame_1757051348952_det.png,closed,0.9,True,uncertain,True,closed,,,in progress,,open_door first,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[108,200,269,474]],""material"":[[318,338,330,351]]}",1362
26,2025-09-05T14:49:29,9.000,/tmp/vlm_frame_1757051361476.png,/tmp/vlm_frame_1757051361476_det.png,open,0.9,True,uncertain,False,already open,,,satisfied,ALREADY_OPEN,door already open,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,202,269,474]],""material"":[[318,338,330,351]]}",843
27,2025-09-05T14:49:39,9.877,/tmp/vlm_frame_1757051370882.png,/tmp/vlm_frame_1757051370882_det.png,,,,,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":true,""reason"":""UNCERTAIN_PERCEPTION""}]","{""door"":[[109,199,270,473]],""material"":[[318,338,330,351]]}",1300
28,2025-09-05T14:49:49,9.772,/tmp/vlm_frame_1757051381369.png,/tmp/vlm_frame_1757051381369_det.png,closed,0.9,True,uncertain,,,,,blocked,UNCERTAIN_PERCEPTION,No material detected in the image.,,,"[{""name"":""move_arm"",""args"":{""object_label"":""material""}}]",[],"{""door"":[[108,201,269,474]],""material"":[[318,338,330,351]]}",913
29,2025-09-05T14:50:01,11.397,/tmp/vlm_frame_1757051390855.png,/tmp/vlm_frame_1757051390855_det.png,closed,0.9,True,uncertain,,,,,in progress,,Execute open_door,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,201,269,474]],""material"":[[318,338,330,351]]}",1337
30,2025-09-05T14:50:12,10.732,/tmp/vlm_frame_1757051402358.png,/tmp/vlm_frame_1757051402358_det.png,open,0.9,True,uncertain,,,,,satisfied,ALREADY_OPEN,execute return_home,,,"[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,270,473]],""material"":[[318,338,330,351]]}",1012
31,2025-09-05T14:50:22,10.213,/tmp/vlm_frame_1757051412837.png,/tmp/vlm_frame_1757051412837_det.png,open,0.9,True,uncertain,,,,,satisfied,ALREADY_OPEN,door already open,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,202,269,473]],""material"":[[318,338,330,351]]}",1000
32,2025-09-05T14:50:33,10.550,/tmp/vlm_frame_1757051423333.png,/tmp/vlm_frame_1757051423333_det.png,closed,0.9,True,uncertain,False,already open,,,in_progress,OK,execute open_door first.,,,"[{""name"":""open_door"",""args"":{""arm"":""right""}},{""name"":""move_arm"",""args"":{""object_label"":""material""}},{""name"":""grasp"",""args"":{""object_label"":""material""}},{""name"":""close_door"",""args"":{""arm"":""right""}}]",[],"{""door"":[[108,203,269,473]],""material"":[[318,338,330,351]]}",915
33,2025-09-05T14:50:43,10.194,/tmp/vlm_frame_1757051433846.png,/tmp/vlm_frame_1757051433846_det.png,closed,0.9,True,uncertain,True,,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[108,202,269,473]],""material"":[[318,338,330,351]]}",1014
34,2025-09-05T14:50:53,10.192,/tmp/vlm_frame_1757051444348.png,/tmp/vlm_frame_1757051444348_det.png,open,1.0,True,uncertain,,,,,satisfied,ALREADY_OPEN,door is already open.,,,"[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,201,269,473]],""material"":[[318,338,330,351]]}",932
35,2025-09-05T14:51:05,11.771,/tmp/vlm_frame_1757051454844.png,/tmp/vlm_frame_1757051454844_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute open_door,,,"[{""name"":""open_door"",""args"":{""arm"":""right""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]",[],"{""door"":[[109,202,269,473]],""material"":[[318,338,330,351]]}",1167
36,2025-09-05T14:51:18,13.149,/tmp/vlm_frame_1757051466329.png,/tmp/vlm_frame_1757051466329_det.png,open,0.9,True,,,,,,in progress,,Perform open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,269,474]],""material"":[[318,338,330,351]]}",1389
37,2025-09-05T14:51:33,14.356,/tmp/vlm_frame_1757051479830.png,/tmp/vlm_frame_1757051479830_det.png,closed,0.9,,,,,,,in_progress,,,open_door,"{""arm"":""left"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""left"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":true,""reason"":""ALREADY_OPEN""}]","{""door"":[[109,201,269,474]],""material"":[[318,338,330,351]]}",1775
