iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
11,2025-09-05T15:18:57,10.767,/tmp/vlm_frame_1757053127723.png,/tmp/vlm_frame_1757053127723_det.png,closed,0.9,True,uncertain,,,,,satisfied,ALREADY_INSIDE,Material already inside door.,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""material already in door""}}]","{""door"":[[112,222,272,471]],""material"":[[322,331,335,344]]}",1050
12,2025-09-05T15:19:10,12.665,/tmp/vlm_frame_1757053139231.png,/tmp/vlm_frame_1757053139231_det.png,closed,0.9,True,uncertain,False,,,,achieved,already_closed,Door already closed,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,226,272,472]],""material"":[[322,331,335,344]]}",1336
13,2025-09-05T15:19:23,12.911,/tmp/vlm_frame_1757053151732.png,/tmp/vlm_frame_1757053151732_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,achieved,,,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,218,272,472]],""material"":[[322,331,335,344]]}",1338
14,2025-09-05T15:19:35,11.616,/tmp/vlm_frame_1757053164256.png,/tmp/vlm_frame_1757053164256_det.png,closed,0.9,,,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already_closed""}}]","{""door"":[[112,220,272,471]],""material"":[[322,331,335,344]]}",1301
15,2025-09-05T15:19:45,10.476,/tmp/vlm_frame_1757053176693.png,/tmp/vlm_frame_1757053176693_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]",[],"{""door"":[[112,222,272,472]],""material"":[[322,331,335,344]]}",942
16,2025-09-05T15:19:58,12.530,/tmp/vlm_frame_1757053187180.png,/tmp/vlm_frame_1757053187180_det.png,closed,1.0,True,uncertain,,,,,init,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,213,272,472]],""material"":[[322,331,335,344]]}",1315
17,2025-09-05T15:20:04,5.421,/tmp/vlm_frame_1757053199693.png,/tmp/vlm_frame_1757053199693_det.png,,,,,,,,,,,,,,[],[],"{""door"":[[112,217,272,472]],""material"":[[322,331,335,344]]}",501
18,2025-09-05T15:20:14,10.828,/tmp/vlm_frame_1757053205192.png,/tmp/vlm_frame_1757053205192_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,approach door to access material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,208,272,472]],""material"":[[322,331,335,344]]}",1311
19,2025-09-05T15:20:25,10.077,/tmp/vlm_frame_1757053215703.png,/tmp/vlm_frame_1757053215703_det.png,open,0.9,False,True,False,already open,,,in_progress,ALREADY_OPEN,door already open,,,"[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door-handle""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,218,272,472]],""material"":[[322,331,335,344]]}",937
20,2025-09-05T15:20:36,11.267,/tmp/vlm_frame_1757053226181.png,/tmp/vlm_frame_1757053226181_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,door already open,open_door,"{""arm"":""left""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,208,272,472]],""material"":[[322,331,335,344]]}",1131
21,2025-09-05T15:20:47,10.830,/tmp/vlm_frame_1757053237694.png,/tmp/vlm_frame_1757053237694_det.png,open,0.9,True,uncertain,,,,,,,,open_door,"{""arm"":""left""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,204,272,471]],""material"":[[322,331,335,344]]}",1064
22,2025-09-05T15:20:58,10.959,/tmp/vlm_frame_1757053248195.png,/tmp/vlm_frame_1757053248195_det.png,closed,1.0,True,no,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,221,272,472]],""material"":[[323,331,335,344]]}",1160
23,2025-09-05T15:21:11,12.661,/tmp/vlm_frame_1757053259685.png,/tmp/vlm_frame_1757053259685_det.png,closed,0.9,True,uncertain,True,closed,,,achieved,,,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,204,272,472]],""material"":[[322,331,335,344]]}",1313
24,2025-09-05T15:21:23,12.060,/tmp/vlm_frame_1757053272169.png,/tmp/vlm_frame_1757053272169_det.png,open,0.9,True,uncertain,True,,,,in_progress,,,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door-handle""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",1249
25,2025-09-05T15:21:35,11.679,/tmp/vlm_frame_1757053284649.png,/tmp/vlm_frame_1757053284649_det.png,open,0.9,True,uncertain,True,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,210,272,472]],""material"":[[322,331,335,344]]}",1166
26,2025-09-05T15:21:45,10.189,/tmp/vlm_frame_1757053296149.png,/tmp/vlm_frame_1757053296149_det.png,,,,,,,,,,,,,,[],[],"{""door"":[[112,220,272,472]],""material"":[[322,331,335,344]]}",972
27,2025-09-05T15:21:56,10.938,/tmp/vlm_frame_1757053306624.png,/tmp/vlm_frame_1757053306624_det.png,,,,,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}},{""skipped"":{""name"":""grasp"",""reason"":""material not visible after opening""}},{""skipped"":{""name"":""close_door"",""reason"":""already open""}}]","{""door"":[[112,218,272,472]],""material"":[[323,331,335,344]]}",1127
28,2025-09-05T15:22:10,13.421,/tmp/vlm_frame_1757053318121.png,/tmp/vlm_frame_1757053318121_det.png,open,0.9,True,uncertain,True,door_state=closed,,,in progress,ALREADY_CLOSED,Material already inside the door.,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,209,272,472]],""material"":[[322,331,335,344]]}",1398
29,2025-09-05T15:22:29,19.670,/tmp/vlm_frame_1757053331608.png,/tmp/vlm_frame_1757053331608_det.png,,,,,,,,,,,,open_door,"{""arm"":""left""}","[{""name"":""open_door"",""args"":{""arm"":""left""}}]","[{""skipped"":{""name"":""move_arm"",""reason"":""material already inside door""}},{""skipped"":{""name"":""grasp"",""reason"":""material already inside door""}},{""skipped"":{""name"":""close_door"",""reason"":""already open""}},{""skipped"":{""name"":""return_home"",""reason"":""goal already met without action""}}]","{""door"":[[112,218,272,472]],""material"":[[322,331,335,344]]}",2751
30,2025-09-05T15:22:41,11.550,/tmp/vlm_frame_1757053351097.png,/tmp/vlm_frame_1757053351097_det.png,open,0.9,True,uncertain,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""material not visible after opening""}}]","{""door"":[[112,217,272,472]],""material"":[[322,331,335,344]]}",1191
31,2025-09-05T15:22:52,10.623,/tmp/vlm_frame_1757053362576.png,/tmp/vlm_frame_1757053362576_det.png,closed,0.9,True,uncertain,False,already open,,,in_progress,OK,execute open_door to retrieve material.,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[112,214,272,472]],""material"":[[322,331,335,344]]}",980
32,2025-09-05T15:23:02,10.475,/tmp/vlm_frame_1757053373074.png,/tmp/vlm_frame_1757053373074_det.png,closed,0.9,True,uncertain,,,,,,,,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}},{""skipped"":{""name"":""return_home"",""reason"":""material in robot's hand""}}]","{""door"":[[112,218,272,472]],""material"":[[322,331,335,344]]}",1115
