iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
11,2025-09-05T15:54:00,4.122,/tmp/vlm_frame_1757055237167.png,/tmp/vlm_frame_1757055237167_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,198,272,472]],""material"":[[323,331,335,344]]}",944
12,2025-09-05T15:54:05,4.618,/tmp/vlm_frame_1757055241582.png,/tmp/vlm_frame_1757055241582_det.png,open,0.9,True,True,False,door_state=open,True,material visible,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,201,272,472]],""material"":[[322,331,335,344]]}",1055
13,2025-09-05T15:54:09,4.085,/tmp/vlm_frame_1757055246063.png,/tmp/vlm_frame_1757055246063_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,204,272,471]],""material"":[[322,331,335,344]]}",944
14,2025-09-05T15:54:14,4.432,/tmp/vlm_frame_1757055250578.png,/tmp/vlm_frame_1757055250578_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,471]],""material"":[[322,331,335,344]]}",944
15,2025-09-05T15:54:18,4.642,/tmp/vlm_frame_1757055255079.png,/tmp/vlm_frame_1757055255079_det.png,open,0.9,True,uncertain,False,already open,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,208,272,472]],""material"":[[322,331,335,344]]}",1086
16,2025-09-05T15:54:23,4.066,/tmp/vlm_frame_1757055259593.png,/tmp/vlm_frame_1757055259593_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,206,272,472]],""material"":[[322,331,335,344]]}",944
17,2025-09-05T15:54:27,4.425,/tmp/vlm_frame_1757055264067.png,/tmp/vlm_frame_1757055264067_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",944
18,2025-09-05T15:54:32,4.905,/tmp/vlm_frame_1757055268569.png,/tmp/vlm_frame_1757055268569_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,202,272,472]],""material"":[[323,331,335,344]]}",1088
19,2025-09-05T15:54:37,5.055,/tmp/vlm_frame_1757055274064.png,/tmp/vlm_frame_1757055274064_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[323,331,335,344]]}",944
20,2025-09-05T15:54:42,4.305,/tmp/vlm_frame_1757055278538.png,/tmp/vlm_frame_1757055278538_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,471]],""material"":[[322,331,335,344]]}",944
21,2025-09-05T15:54:46,4.345,/tmp/vlm_frame_1757055283023.png,/tmp/vlm_frame_1757055283023_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,201,272,472]],""material"":[[322,331,335,344]]}",944
22,2025-09-05T15:54:50,4.275,/tmp/vlm_frame_1757055287508.png,/tmp/vlm_frame_1757055287508_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,213,272,471]],""material"":[[323,331,335,344]]}",944
23,2025-09-05T15:54:55,4.822,/tmp/vlm_frame_1757055292034.png,/tmp/vlm_frame_1757055292034_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,206,272,472]],""material"":[[323,331,335,344]]}",1088
24,2025-09-05T15:55:00,4.090,/tmp/vlm_frame_1757055296527.png,/tmp/vlm_frame_1757055296527_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,208,272,471]],""material"":[[322,331,335,344]]}",944
25,2025-09-05T15:55:04,4.363,/tmp/vlm_frame_1757055301007.png,/tmp/vlm_frame_1757055301007_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,202,272,472]],""material"":[[322,331,335,344]]}",944
26,2025-09-05T15:55:09,4.436,/tmp/vlm_frame_1757055305519.png,/tmp/vlm_frame_1757055305519_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,204,272,472]],""material"":[[322,331,335,344]]}",944
27,2025-09-05T15:55:13,4.761,/tmp/vlm_frame_1757055310013.png,/tmp/vlm_frame_1757055310013_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,196,272,472]],""material"":[[322,331,335,344]]}",1088
28,2025-09-05T15:55:18,3.979,/tmp/vlm_frame_1757055314565.png,/tmp/vlm_frame_1757055314565_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,204,272,472]],""material"":[[322,331,335,344]]}",944
29,2025-09-05T15:55:22,4.344,/tmp/vlm_frame_1757055318998.png,/tmp/vlm_frame_1757055318998_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,202,272,472]],""material"":[[322,331,335,344]]}",944
30,2025-09-05T15:55:26,4.398,/tmp/vlm_frame_1757055323482.png,/tmp/vlm_frame_1757055323482_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",944
31,2025-09-05T15:55:31,4.412,/tmp/vlm_frame_1757055327984.png,/tmp/vlm_frame_1757055327984_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,196,272,472]],""material"":[[322,331,335,344]]}",944
32,2025-09-05T15:55:36,4.787,/tmp/vlm_frame_1757055332489.png,/tmp/vlm_frame_1757055332489_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,203,272,471]],""material"":[[322,331,335,344]]}",1088
33,2025-09-05T15:55:40,4.127,/tmp/vlm_frame_1757055336982.png,/tmp/vlm_frame_1757055336982_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,471]],""material"":[[323,331,335,344]]}",944
34,2025-09-05T15:55:45,4.339,/tmp/vlm_frame_1757055341479.png,/tmp/vlm_frame_1757055341479_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",944
35,2025-09-05T15:55:49,4.342,/tmp/vlm_frame_1757055345986.png,/tmp/vlm_frame_1757055345986_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,202,272,471]],""material"":[[322,331,335,344]]}",944
36,2025-09-05T15:55:53,4.403,/tmp/vlm_frame_1757055350469.png,/tmp/vlm_frame_1757055350469_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,204,272,472]],""material"":[[322,331,335,344]]}",944
37,2025-09-05T15:55:58,4.449,/tmp/vlm_frame_1757055354981.png,/tmp/vlm_frame_1757055354981_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,212,272,472]],""material"":[[322,331,335,344]]}",944
38,2025-09-05T15:56:03,4.414,/tmp/vlm_frame_1757055359495.png,/tmp/vlm_frame_1757055359495_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,205,272,472]],""material"":[[322,331,335,344]]}",944
39,2025-09-05T15:56:07,4.773,/tmp/vlm_frame_1757055363976.png,/tmp/vlm_frame_1757055363976_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,203,272,471]],""material"":[[322,331,335,344]]}",1088
40,2025-09-05T15:56:13,5.312,/tmp/vlm_frame_1757055369468.png,/tmp/vlm_frame_1757055369468_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,206,272,472]],""material"":[[322,331,335,344]]}",1088
41,2025-09-05T15:56:17,4.012,/tmp/vlm_frame_1757055373971.png,/tmp/vlm_frame_1757055373971_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,207,272,472]],""material"":[[322,331,335,344]]}",944
42,2025-09-05T15:56:21,4.455,/tmp/vlm_frame_1757055378454.png,/tmp/vlm_frame_1757055378454_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,203,272,472]],""material"":[[322,331,335,344]]}",944
43,2025-09-05T15:56:26,4.400,/tmp/vlm_frame_1757055382935.png,/tmp/vlm_frame_1757055382935_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",944
44,2025-09-05T15:56:30,4.305,/tmp/vlm_frame_1757055387415.png,/tmp/vlm_frame_1757055387415_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,202,272,472]],""material"":[[323,331,335,344]]}",944
45,2025-09-05T15:56:35,4.405,/tmp/vlm_frame_1757055391908.png,/tmp/vlm_frame_1757055391908_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,207,272,472]],""material"":[[322,331,335,344]]}",944
46,2025-09-05T15:56:40,4.822,/tmp/vlm_frame_1757055396399.png,/tmp/vlm_frame_1757055396399_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,206,272,472]],""material"":[[322,331,335,344]]}",1088
47,2025-09-05T15:56:45,5.293,/tmp/vlm_frame_1757055401880.png,/tmp/vlm_frame_1757055401880_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",1088
48,2025-09-05T15:56:50,4.385,/tmp/vlm_frame_1757055406365.png,/tmp/vlm_frame_1757055406365_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,214,272,472]],""material"":[[322,331,335,344]]}",1088
49,2025-09-05T15:56:54,4.451,/tmp/vlm_frame_1757055410888.png,/tmp/vlm_frame_1757055410888_det.png,open,0.9,True,uncertain,False,already open,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,200,272,471]],""material"":[[322,331,335,344]]}",1086
50,2025-09-05T15:56:58,4.129,/tmp/vlm_frame_1757055415406.png,/tmp/vlm_frame_1757055415406_det.png,closed,0.9,True,uncertain,False,door_state=closed,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,472]],""material"":[[323,331,335,344]]}",953
51,2025-09-05T15:57:03,4.268,/tmp/vlm_frame_1757055419814.png,/tmp/vlm_frame_1757055419814_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,208,272,472]],""material"":[[322,331,335,344]]}",944
52,2025-09-05T15:57:07,4.365,/tmp/vlm_frame_1757055424296.png,/tmp/vlm_frame_1757055424296_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,214,272,471]],""material"":[[323,331,335,344]]}",944
53,2025-09-05T15:57:12,4.769,/tmp/vlm_frame_1757055428793.png,/tmp/vlm_frame_1757055428793_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,210,272,472]],""material"":[[322,331,335,344]]}",1088
54,2025-09-05T15:57:16,4.007,/tmp/vlm_frame_1757055433313.png,/tmp/vlm_frame_1757055433313_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,210,272,472]],""material"":[[322,331,335,344]]}",944
55,2025-09-05T15:57:21,4.359,/tmp/vlm_frame_1757055437748.png,/tmp/vlm_frame_1757055437748_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,208,272,471]],""material"":[[322,331,335,344]]}",944
56,2025-09-05T15:57:26,4.748,/tmp/vlm_frame_1757055442241.png,/tmp/vlm_frame_1757055442241_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,218,272,472]],""material"":[[322,331,335,344]]}",1088
57,2025-09-05T15:57:30,4.358,/tmp/vlm_frame_1757055446734.png,/tmp/vlm_frame_1757055446734_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,208,272,472]],""material"":[[322,331,335,344]]}",1088
58,2025-09-05T15:57:34,4.122,/tmp/vlm_frame_1757055451227.png,/tmp/vlm_frame_1757055451227_det.png,closed,0.9,True,uncertain,False,door_state=closed,,,satisfied,ALREADY_CLOSED,door already closed,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,213,272,472]],""material"":[[322,331,335,344]]}",961
59,2025-09-05T15:57:39,4.676,/tmp/vlm_frame_1757055455709.png,/tmp/vlm_frame_1757055455709_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,211,272,471]],""material"":[[322,331,335,344]]}",1088
60,2025-09-05T15:57:43,3.976,/tmp/vlm_frame_1757055460193.png,/tmp/vlm_frame_1757055460193_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",944
61,2025-09-05T15:57:48,4.396,/tmp/vlm_frame_1757055464685.png,/tmp/vlm_frame_1757055464685_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,200,272,472]],""material"":[[322,331,335,344]]}",944
62,2025-09-05T15:57:52,4.373,/tmp/vlm_frame_1757055469161.png,/tmp/vlm_frame_1757055469161_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,214,272,472]],""material"":[[322,331,335,344]]}",944
63,2025-09-05T15:57:57,4.758,/tmp/vlm_frame_1757055473646.png,/tmp/vlm_frame_1757055473646_det.png,open,0.9,True,uncertain,False,door_state=open,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,207,272,472]],""material"":[[322,331,335,344]]}",1089
64,2025-09-05T15:58:01,4.365,/tmp/vlm_frame_1757055478129.png,/tmp/vlm_frame_1757055478129_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,204,272,472]],""material"":[[322,331,335,344]]}",1088
65,2025-09-05T15:58:06,4.084,/tmp/vlm_frame_1757055482603.png,/tmp/vlm_frame_1757055482603_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,214,272,472]],""material"":[[322,331,335,344]]}",944
